words,count
nwe,7
worth,19
street,43
nthe,21
lights,12
recommend,6
hold,6
ziplining,7
las,7
purchase,6
safe,6
wasn,8
top,15
elevator,10
heights,7
person,8
don,14
definitely,16
bag,6
bad,10
decided,6
zipline,27
photo,11
strap,9
night,32
deal,6
people,22
head,10
picture,17
time,38
vegas,37
cool,18
quick,8
guy,9
sign,18
cost,9
run,6
goes,6
wait,33
downtown,7
guys,8
maybe,7
platform,9
adrenaline,6
looking,9
husband,7
little,17
friend,7
price,12
black,6
photos,10
purse,6
pay,19
money,6
real,6
stand,6
harness,13
stars,6
rush,7
lining,6
experience,32
eye,6
town,6
hour,8
short,12
actually,14
weight,6
safety,6
feel,6
check,8
lit,6
pretty,13
pictures,17
expensive,7
flight,12
look,8
fun,53
ready,7
fremont,43
bit,15
step,12
fast,8
line,53
nice,6
flightlines,6
entire,6
try,20
waiting,7
zip,33
ride,53
light,6
front,8
day,20
doing,7
lot,11
staff,10
walk,6
five,6
didn,17
scared,6
buy,6
wish,10
below,11
stories,6
minutes,14
