words,count
nwe,8
chef,10
nthe,17
excellent,7
wine,22
bread,11
meat,8
meal,15
little,9
wasn,12
service,31
don,12
enjoyed,8
menu,39
plate,6
appetizer,13
bad,8
night,6
ice,6
dinner,19
plus,8
seafood,7
vegas,12
french,10
weird,6
entrees,6
love,6
flavors,11
chocolate,7
soup,6
maybe,7
amuse,8
course,30
main,11
didn,16
looking,6
dining,8
price,12
husband,8
mandarin,7
gagnaire,6
evening,6
served,6
nice,12
lobster,8
favorite,6
strip,6
tasty,10
time,18
dish,16
canapes,6
vegetarian,6
experience,10
none,7
beautiful,8
food,43
courses,9
delicious,7
bouche,6
fine,6
pretty,7
restaurants,7
restaurant,25
scallop,6
arrived,6
cut,6
couple,8
bit,11
sorbet,7
tasting,26
cooked,8
desserts,12
dessert,13
joel,6
entree,6
oriental,6
lot,6
boring,7
dishes,18
staff,6
gras,19
view,11
robuchon,8
table,20
cream,8
foie,28
twist,21
