words,count
text,19
sitting,6
vegas,30
worst,9
ticket,15
minute,7
round,9
booth,8
picked,7
nthe,7
waiting,25
told,34
wait,20
passengers,10
experience,9
airport,69
pick,31
call,18
company,11
phone,14
customer,19
hour,12
ride,19
arrive,10
dropped,6
supershuttle,9
rude,8
coming,6
las,18
pay,10
refund,10
help,8
late,6
window,7
return,10
front,7
didn,11
found,9
leave,8
times,8
waited,19
message,6
checked,7
service,39
hotel,48
min,7
online,8
paid,12
don,14
finally,13
terminal,7
stop,9
cheaper,6
arrival,6
wtf,7
received,11
taking,7
walk,10
board,6
flight,14
cab,21
trip,26
shuttle,119
driver,46
arrived,15
person,6
left,18
taxi,14
money,7
assigned,11
lady,15
book,9
location,10
scheduled,7
customers,6
shuttles,8
people,23
super,48
strip,6
van,39
bus,11
tell,9
minutes,44
called,20
uber,7
check,10
drivers,7
reservation,24
booked,8
time,55
