words,count
nwe,6
nthe,9
ayce,15
told,16
brought,9
call,7
hot,7
wrong,8
wasn,8
service,48
seated,15
doh,28
don,21
busy,8
menu,15
rice,11
twice,6
bad,19
decided,9
sushi,60
left,7
yes,6
night,10
people,21
check,21
roll,6
time,48
manager,13
leave,8
water,10
change,6
wait,10
maybe,9
cold,10
half,7
looking,6
couldn,7
waiter,10
waited,10
little,6
tell,7
sad,7
sat,11
slow,7
pay,8
lady,8
server,35
business,6
lot,6
taste,8
sashimi,14
worse,10
tea,7
experience,14
family,9
hour,9
sucks,6
okay,7
rude,11
coming,19
egg,6
actually,6
wouldn,7
food,51
fish,16
drink,10
terrible,7
nedit,9
feel,6
salmon,6
restaurant,26
else,6
understand,6
hostess,8
tables,9
disappointed,7
customers,9
couple,6
eating,11
servers,21
rolls,20
nice,14
walked,12
dessert,13
try,8
waiting,20
crab,7
started,6
salad,6
shrimp,9
times,14
waitress,10
stars,8
dishes,6
horrible,10
table,22
nigiri,8
decent,6
nnot,7
party,6
didn,19
star,9
eat,24
minutes,24
sick,8
