words,count
worth,9
enjoy,6
bacon,12
nthe,7
told,31
pancakes,18
dry,7
employees,7
brought,15
times,12
hot,7
wrong,11
las,11
waitress,18
bread,6
potatoes,6
meal,24
ihop,6
little,8
ate,11
arrived,16
wasn,14
service,54
top,7
seated,43
mins,6
gravy,30
don,19
dog,7
busy,10
menu,7
plate,7
bad,31
steak,14
received,7
expected,11
cracker,64
dumplings,9
experience,27
plates,6
butter,10
left,9
yes,6
people,28
super,8
dinner,6
happy,8
hear,6
mediocre,7
check,13
time,62
manager,39
finally,25
brown,7
vegas,21
minute,7
eating,11
drinks,11
water,11
wait,91
love,7
visit,17
maybe,6
cold,19
half,11
name,9
didn,30
looking,7
care,7
couldn,9
waiter,7
waited,24
cheese,6
white,6
tasted,8
breakfast,28
sat,8
dining,6
shop,9
slow,12
morning,7
ignored,6
coffee,9
pay,7
rest,7
flavor,6
disappointed,15
server,34
served,12
taste,10
poor,10
wife,12
worse,9
worst,10
list,8
tea,6
hash,11
hours,10
family,11
hour,35
okay,7
tried,6
rude,9
coming,8
crowded,6
food,166
biscuits,26
hard,9
terrible,11
feel,7
bland,8
guess,7
store,8
eggs,28
eaten,7
barrel,64
fine,11
pretty,9
won,12
probably,7
missing,8
restaurant,22
else,9
look,6
frozen,9
bill,7
tables,13
location,14
excited,11
customers,11
game,7
absolutely,6
servers,7
line,7
fries,6
fried,13
called,19
nice,8
meals,6
cooked,8
dessert,8
try,9
waiting,26
customer,6
salad,8
front,6
day,6
special,6
quality,11
dishes,8
min,11
looked,13
bring,8
chicken,36
staff,14
hope,7
horrible,14
table,43
party,10
drink,12
hair,7
home,14
getting,7
eat,20
minutes,56
star,9
