words,count
quadruple,6
worth,7
bacon,17
nthe,16
highly,6
hospital,36
recommend,15
amazing,12
las,10
wine,8
jell,6
little,6
free,14
greasy,6
service,18
top,6
girls,8
gowns,12
mind,6
don,49
definitely,15
enjoyed,6
menu,15
bad,8
shots,11
wear,16
beer,8
chili,7
butter,7
burgers,41
left,6
yes,6
people,16
shakes,12
super,12
diet,7
spanked,22
time,31
gown,26
themed,6
environment,6
german,6
vegas,43
blast,9
cool,8
die,7
patient,6
drinks,11
wait,7
love,23
visit,13
butterfat,7
heart,26
awesome,23
guys,9
shake,11
didn,13
cheese,10
price,6
shot,9
milkshakes,7
comes,10
spank,13
cash,11
doctor,6
bottle,7
pounds,6
served,6
meal,19
syringe,6
lol,6
taste,6
tasty,13
wife,12
fat,10
burger,89
nurse,40
experience,42
milkshake,7
grill,18
huge,11
actually,8
bypass,27
food,93
delicious,15
hard,7
finish,40
expect,9
ass,6
american,9
unhealthy,7
bag,6
double,13
weigh,8
pretty,11
restaurant,36
patty,6
else,9
fun,78
triple,7
funny,8
location,7
bit,6
absolutely,7
scale,6
lard,7
fries,39
dog,6
single,26
nice,10
cooked,10
friendly,15
try,9
paddle,15
sexy,17
che,9
theme,15
day,8
hilarious,8
waitress,24
owner,6
attack,25
lot,11
loved,12
atmosphere,17
spanking,18
staff,16
jon,9
finished,11
waitresses,11
home,6
getting,8
hot,19
spankings,6
eat,48
nurses,19
dressed,11
friends,9
