words,count
nwe,12
sleep,14
nthe,20
told,21
nwhen,6
guests,14
music,11
bartender,14
beach,6
las,8
coffee,9
free,12
days,6
loud,8
service,21
top,10
shower,10
don,27
dog,6
saying,9
report,6
bar,16
decided,10
bathroom,8
left,9
people,16
night,38
security,12
call,7
hear,9
floor,20
weekend,6
manager,7
charge,9
vegas,28
drinks,6
water,15
entrance,6
club,26
staying,9
earplugs,6
checked,6
breakfast,7
paid,6
cheap,6
morning,8
husband,6
seat,7
informed,6
pay,10
check,14
drais,11
money,14
strip,8
time,27
pool,49
booked,6
paying,6
hours,13
experience,14
finally,6
door,7
stayed,12
rude,7
caesars,7
actually,7
late,7
walls,7
found,7
expect,11
bass,6
elevator,12
guest,27
hotel,77
play,8
sometimes,6
clean,9
restaurant,6
treated,6
empty,6
else,6
ready,6
dark,8
spend,7
complimentary,6
nso,6
services,6
called,13
doesn,6
nice,19
drai,11
walked,7
friendly,6
entire,7
valet,10
access,7
casino,21
customer,8
move,6
front,15
day,18
boutique,12
cromwell,36
bed,8
looked,7
staff,17
available,6
gone,6
table,12
lobby,6
desk,13
didn,11
noise,6
nightclub,7
minutes,11
star,7
stay,31
