words,count
dish,16
presentation,6
dessert,6
try,15
nthe,19
enjoyed,6
nservice,6
didn,15
love,9
duck,6
crab,11
excellent,7
salad,20
shrimp,16
wrong,6
date,6
tapas,14
mango,6
wine,13
avocado,16
sauce,16
food,38
lunch,12
special,6
tempura,6
wasn,12
little,25
service,16
spinach,19
friend,6
thai,36
coconut,7
sat,6
dishes,13
dining,7
price,7
salmon,8
don,9
chicken,21
staff,7
menu,16
pretty,6
rice,21
appetizer,8
bar,13
bad,8
restaurants,9
noodles,7
quality,7
probably,7
nittaya,13
tables,8
restaurant,20
sweet,7
table,10
beef,8
delicious,9
catfish,6
usual,8
flavor,9
bit,14
server,7
night,16
served,9
dinner,11
curry,33
wontons,6
spicy,13
eat,8
inside,6
fried,25
taste,10
check,8
cream,7
maybe,7
nice,14
friends,7
time,10
