words,count
nwe,9
worth,18
bacon,18
nthe,13
told,14
dry,7
brought,8
recommend,7
bartender,10
sitting,6
hot,17
las,11
bread,6
meat,12
arrived,8
loud,7
wasn,22
service,34
girls,6
seated,15
don,18
overpriced,8
busy,9
menu,14
bar,28
bad,13
decided,9
rings,25
kitchen,6
beer,6
expected,11
kids,7
burgers,40
left,10
wahl,7
people,11
ice,6
super,9
dollars,7
medium,13
inside,18
tell,7
looked,10
potato,8
time,20
manager,8
vegas,28
drinks,14
melt,10
water,7
wait,35
love,14
pink,6
mac,20
shake,6
cold,24
lunch,10
ketchup,7
name,13
didn,30
looking,10
couldn,7
waiter,10
waited,10
cheese,42
size,6
little,14
bite,6
plastic,9
friend,6
tasted,13
sat,7
price,11
cheeseburger,7
outside,9
husband,9
review,7
wahlburgers,22
comes,7
mark,10
sauce,27
pay,7
flavor,7
disappointed,18
server,14
served,9
pickles,8
tots,21
nmy,6
meal,12
fast,6
lot,6
taste,13
tasty,8
wife,6
strings,7
paying,7
fan,7
burger,156
experience,18
family,16
door,6
huge,6
sandwich,10
okay,11
tried,12
paper,10
actually,9
return,6
food,102
bland,6
cups,6
double,9
pretty,8
hype,6
probably,6
restaurant,34
mcdonald,6
patty,12
sweet,13
expensive,6
yukon,6
finally,9
else,8
pricey,7
prices,13
look,8
hostess,6
bill,10
hoping,7
ready,6
cup,8
location,15
excited,11
customers,7
bit,9
eating,6
ounce,7
impressed,7
fries,54
doesn,8
nice,6
cooked,20
shack,6
friendly,7
try,18
reviews,6
waiting,8
salad,14
onions,17
sit,12
day,10
strip,20
special,14
waitress,14
quality,11
unless,7
atmosphere,6
soggy,8
chicken,8
staff,15
won,10
hope,7
overall,8
horrible,8
tater,11
table,18
bbq,24
drink,11
onion,27
getting,6
bun,7
eat,17
minutes,17
