words,count
worth,10
nthe,23
told,11
dry,13
items,9
warm,6
hot,14
wrong,6
muffin,6
bread,9
meat,12
potatoes,9
waffle,28
saturday,7
little,30
delicious,12
wasn,24
service,57
top,8
mins,16
gravy,24
don,14
definitely,16
saying,6
menu,22
rice,6
plate,6
bar,14
bad,21
steak,6
decided,8
kitchen,6
quickly,8
expected,7
aid,14
butter,8
left,10
yes,6
night,11
people,6
corn,15
super,11
dinner,9
inside,6
check,12
time,44
manager,14
finally,13
drinks,14
water,7
wait,51
cinnamon,15
love,14
visit,9
roscoe,11
soul,6
reviews,9
heard,6
sunday,9
overall,7
southern,6
mac,14
maybe,11
cold,7
amazing,7
lunch,6
didn,33
morning,6
tried,9
looking,7
care,6
waited,14
cheese,19
tasted,8
sat,16
green,11
price,6
slow,15
husband,10
review,6
kool,14
comes,6
catfish,12
week,6
flavor,13
disappointed,7
served,9
shrimp,6
fritters,9
start,6
stars,6
taste,17
tasty,9
fan,13
tea,10
experience,10
toys,6
town,7
hour,13
huge,12
okay,9
coming,11
actually,10
sauce,7
wouldn,9
return,8
food,121
biscuits,11
hard,9
lolo,6
bland,8
syrup,10
banana,7
juicy,8
cornbread,6
eggs,11
pretty,20
batter,6
breast,7
seated,22
probably,11
meal,11
restaurant,16
sweet,15
crispy,8
empty,9
hostess,9
hoping,7
tables,12
location,6
excited,6
customers,7
couple,7
bit,11
wings,10
server,25
beans,6
fries,7
fried,49
nice,27
cooked,14
friendly,13
try,34
booth,7
waiting,13
busy,24
favorite,6
pieces,11
instead,6
soggy,9
perfect,6
day,16
grits,13
red,6
times,12
pudding,6
waitress,29
lot,8
loved,10
waffles,92
looked,7
chicken,158
staff,22
course,7
table,14
decent,12
seasoned,9
party,7
tomatoes,13
drink,10
crisp,6
soft,10
home,9
getting,6
minutes,25
