words,count
worth,7
tickets,6
nthe,12
luggage,16
employees,9
credit,11
call,8
excellent,8
travel,20
amazing,14
gate,15
las,28
baggage,8
denver,9
crew,14
little,9
free,61
days,8
service,50
boarding,33
don,35
nsouthwest,6
bad,8
air,12
left,6
assigned,12
thanks,8
board,9
easy,16
save,6
deal,8
people,23
humor,7
super,7
dollars,7
flying,37
class,11
happy,12
offer,7
check,36
weekend,6
charge,15
southwest,149
choice,10
vegas,41
round,6
drinks,7
water,6
change,14
wait,6
usually,10
love,47
extra,12
fly,69
awesome,13
thank,13
name,7
didn,12
card,8
care,7
carry,8
checked,14
san,6
online,6
price,6
especially,6
delta,6
husband,6
seat,25
airlines,69
offered,6
situation,8
middle,6
bags,36
pay,13
trip,19
money,6
seating,17
business,8
favorite,14
airline,53
low,6
stars,8
delayed,14
sales,6
time,69
ticket,10
pass,9
hours,13
experience,16
airport,14
destination,6
company,6
hour,7
plane,29
help,11
actually,9
late,11
peanuts,6
attendant,10
american,8
pilots,8
fees,14
attendants,25
bag,16
option,6
flights,53
swa,21
flight,133
prices,10
fun,6
funny,11
flown,11
recent,8
person,6
planes,14
definitely,10
nice,14
friendly,30
try,7
bird,7
leg,9
leaving,7
makes,6
customer,28
snacks,7
process,7
united,14
flew,7
front,6
day,12
times,14
system,7
lot,9
able,6
bring,7
staff,21
employee,6
overall,8
job,10
etc,7
helped,9
bucks,8
drink,20
seats,16
helpful,12
home,11
getting,9
weather,6
minutes,16
wifi,8
book,11
