words,count
nwe,9
worth,31
nthe,10
lights,6
fantastic,7
highly,20
recommend,28
phone,8
excellent,6
amazing,49
las,17
mead,10
little,14
service,9
top,11
don,10
definitely,14
canyon,101
kyle,10
thanks,6
gift,7
night,16
people,11
super,13
narration,7
flying,14
music,15
landing,10
morning,7
weekend,6
time,43
vegas,45
cool,8
fly,12
awesome,32
sundance,48
birthday,9
remember,6
thank,9
views,20
lunch,24
name,6
hoover,18
price,6
sunset,7
professional,6
shop,7
husband,14
picnic,19
seat,8
tour,78
helicopter,63
photos,6
pilot,78
trip,36
driver,14
spectacular,6
strip,32
lot,11
booked,15
wife,8
viator,8
experience,59
airport,10
pick,13
company,7
landed,19
beautiful,18
short,9
skywalk,6
return,6
safety,15
american,7
pilots,7
feel,10
wonderful,8
hotel,29
money,9
champagne,23
flight,28
fun,13
guide,6
funny,6
grand,67
location,6
totally,7
bit,8
absolutely,9
nice,15
land,8
friendly,18
video,7
picked,16
limo,51
ride,41
stop,6
perfect,16
helicopters,12
dam,17
flew,11
front,13
day,14
special,6
loved,14
pictures,21
staff,14
view,14
job,9
taking,9
lake,11
book,7
didn,11
bus,7
smooth,12
minutes,17
penny,6
incredible,7
