words,count
worth,10
excalibur,14
vegas,21
salad,9
steakhouse,23
camelot,9
steaks,8
nthe,8
experience,10
recommend,7
excellent,6
friendly,7
soup,9
amazing,15
course,10
perfect,10
food,29
bread,10
potatoes,8
meal,12
waiter,10
mignon,7
delicious,12
little,10
service,20
stuffed,6
perfectly,7
friend,7
hotel,8
definitely,15
staff,6
prime,16
steak,29
husband,6
decided,8
pricey,6
rib,21
restaurant,16
onion,6
french,6
night,7
lobster,11
bisque,6
mashed,7
rare,6
shrimp,7
dinner,19
strip,10
medium,6
filet,12
potato,9
nice,6
time,12
cooked,11
baked,11
