words,count
nwe,7
hour,15
try,14
tea,6
chef,12
eating,6
waiting,6
told,9
busy,6
items,7
experience,6
bill,6
salad,7
soup,6
tried,6
coming,10
sit,6
green,7
worst,9
sauce,6
food,20
lunch,11
didn,13
special,9
quality,6
rolls,34
waitress,16
miso,7
wasn,6
kobe,9
service,27
review,8
price,7
salmon,7
paid,6
don,16
definitely,8
charged,7
menu,6
pretty,8
rice,7
bad,12
decided,6
horrible,9
restaurant,15
table,13
sushi,59
tuna,6
left,7
customers,6
server,10
night,6
dinner,7
happy,14
eat,19
minutes,9
taste,7
roll,26
time,28
